surrogate,tau,asr_mean,asr_std
Standard (ResNet50),0.8,51.46666666666667,0.9285592184789424
Standard (ResNet50),0.82,52.86666666666667,1.3199326582148898
Standard (ResNet50),0.84,53.26666666666667,1.3695092389449386
Standard (ResNet50),0.86,53.199999999999996,0.6531972647421785
Standard (ResNet50),0.88,53.06666666666666,0.4109609335312621
Standard (ResNet50),0.9,53.199999999999996,0.16329931618554464
Standard (ResNet50),0.92,53.333333333333336,0.24944382578492727
Standard (ResNet50),0.94,53.333333333333336,0.24944382578492727
Standard (ResNet50),0.96,53.333333333333336,0.24944382578492727
Standard (ResNet50),0.98,53.333333333333336,0.24944382578492727
Robust (Engstrom),0.8,67.13333333333333,0.09428090415820098
Robust (Engstrom),0.82,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.84,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.86,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.88,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.9,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.92,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.94,67.06666666666666,0.09428090415820098
Robust (Engstrom),0.96,66.86666666666667,0.09428090415820767
Robust (Engstrom),0.98,64.66666666666667,0.8055363982396363
